Risk,AI,Elevation,ET,GDP,GSH,GSS,Population,Precipitation,Slope,Soil_OC,Temperature,TWI,Urban,WTD,Longitude,Latitude,airport,Finishing_textiles,Firefighting_training,Landfill,Manufacture_articles,Manufacture_fabricated_metal,Manufacture_organic_basic,Manufacture_petroleum,Manufacture_plastics,Manufacture_pulp_paper,Manufacture_rubber,Military,PFAS_production,Sewerage,Tanning_dressing,WWTP
0,10757,311,491,,1,1,0,57,2.227444172,51.32444763,10.39999962,-9,0,-0.595101854,21.07916667,67.89583333,32176,1361979,154580,291275,504299,191278,1084160,829741,525748,101549,375721,160646,1987687,251452,1223726,215126
1,10051,365,556,,1,1,0,60,1.054147482,51.66666794,11.69999981,-3,0,,19.29583333,65.57916667,1394,1127425,241637,246576,423228,100914,825961,587804,258332,50561,292453,51096,1732615,290007,955940,202961
0,9487,113,654,3716182,1,1,7,65,0.338750958,60.0265007,14.30000019,-3,0,-3.387502861,29.62916667,62.6625,1107,824786,785051,35371,64433,56125,1073632,339985,198882,9975,322629,100816,1501479,100593,925130,9701
0,9481,110,652,,1,1,8,65,0.391321421,53.27220154,14.30000019,-2,0,-13.82467384,29.64583333,62.6625,1958,825126,785034,36208,64241,56838,1074463,340551,199733,9342,323256,101598,1501833,101419,925467,9255
1,9560,113,654,67518.10938,1,1,8,66,0.241553068,54.89590073,14.39999962,-1,1,-17.38002594,29.62083333,62.65416667,1186,823767,785986,35137,63634,56289,1073017,339010,198451,9750,321689,100797,1500459,100408,924111,9209
1,9544,112,654,3940605,1,1,9,66,0.28014645,,14.39999962,-1,1,-19.72991531,29.62916667,62.65416667,1472,823937,785977,35553,63532,56641,1073432,339293,198877,9402,322003,101187,1500636,100820,924279,8946
0,9496,108,653,76798.52344,1,1,9,65,0.37202847,54.89590073,14.30000019,-1,1,-21.48470283,29.64583333,62.65416667,2185,824277,785961,36386,63337,57347,1074264,339861,199728,8727,322632,101966,1500991,101645,924616,8460
0,9450,104.5,655,76798.52344,1,1,8,65,0.632023513,54.89590073,14.30000019,-2,1,-17.10536355,29.65416667,62.65416667,2574,824448,785953,36803,63244,57701,1074679,340145,200154,8402,322947,102356,1501169,102057,924785,8239
0,9373,99,654,26054.00195,1,1,8,65,0.405621588,54.89590073,14.30000019,-2,1,-13.82467384,29.67083333,62.65416667,3377,824789,785937,37637,63066,58413,1075511,340714,201005,7781,323578,103137,1501525,102882,925124,7848
0,8683,13.5,695,1318806.75,2,1,11,54,0.631708622,85.82783508,13.69999981,0,0,-3.845273518,17.2125,60.8125,28212,701635,292250,109783,95258,259978,389607,269432,169873,14099,315687,103797,1222203,15361,436718,110480
